day,time,level,trend
1-Jul,31.97916667,0,0
2-Jul,33.05882353,0,0
3-Jul,16.23076923,0,0
4-Jul,22.28571429,0,0
5-Jul,29,0,0
6-Jul,23.72222222,0,0
7-Jul,28.04545455,0,0
8-Jul,20.39130435,0,0
9-Jul,18.55555556,0,0
10-Jul,24.78571429,0,0
11-Jul,20.41666667,0,0
12-Jul,16.60869565,0,0
13-Jul,16.86666667,0,0
14-Jul,33.53846154,0,0
15-Jul,20,0,0
16-Jul,22.23809524,0,0
17-Jul,22.42105263,0,0
18-Jul,18.39130435,0,0
19-Jul,32.55555556,0,0
20-Jul,26.84615385,0,0
21-Jul,30.83333333,0,0
22-Jul,16.96296296,0,0
23-Jul,19.61290323,0,0
24-Jul,17.03846154,0,0
25-Jul,26.125,0,0
26-Jul,22.23529412,0,0
27-Jul,17.90909091,0,0
28-Jul,21.04166667,0,0
29-Jul,17.2962963,0,0
30-Jul,22,0,0
31-Jul,23.05263158,0,0
1-Aug,18.14285714,0,0
2-Aug,19.33333333,0,0
3-Aug,22.28571429,0,0
4-Aug,22.95652174,0,0
5-Aug,22.91666667,0,0
6-Aug,16.5,0,0
7-Aug,30.15789474,0,0
8-Aug,20.09090909,0,0
9-Aug,20.69444444,0,0
10-Aug,24.16666667,0,0
11-Aug,39.96666667,0,0
12-Aug,16.15,0,0
13-Aug,21.95238095,0,0
14-Aug,28,0,0
15-Aug,24.9,0,0
16-Aug,39.78787879,0,0
17-Aug,19.27272727,0,0
18-Aug,26.76190476,0,0
19-Aug,21.26086957,0,0
20-Aug,19.05882353,0,0
21-Aug,17.60606061,0,0
22-Aug,19.31578947,0,0
23-Aug,18.88888889,0,0
24-Aug,27.3,0,0
25-Aug,33.11111111,0,0
26-Aug,46.22580645,0,0
27-Aug,68.81818182,0,0
28-Aug,46.47826087,0,0
29-Aug,46.875,0,0
30-Aug,21.86206897,0,0
31-Aug,48.96428571,0,0
1-Oct,14.62,1,1
2-Oct,15.73913043,1,2
3-Oct,28.33333333,1,3
4-Oct,44.62745098,1,4
5-Oct,20.38095238,1,5
6-Oct,15.44186047,1,6
7-Oct,15.5,1,7
8-Oct,16.31818182,1,8
9-Oct,31.6,1,9
10-Oct,18.5,1,10
11-Oct,16.31914894,1,11
12-Oct,18.2826087,1,12
13-Oct,18.04,1,13
14-Oct,22.26470588,1,14
15-Oct,14.95833333,1,15
16-Oct,20.11764706,1,16
17-Oct,16.6,1,17
18-Oct,16.92307692,1,18
19-Oct,24,1,19
20-Oct,17.38297872,1,20
21-Oct,13.94230769,1,21
22-Oct,16.9047619,1,22
23-Oct,17.95454545,1,23
24-Oct,13.91489362,1,24
25-Oct,13.17460317,1,25
26-Oct,30.93333333,1,26
27-Oct,24.51612903,1,27
28-Oct,14.74,1,28
29-Oct,14.7,1,29
30-Oct,14.75,1,30
31-Oct,20.15217391,1,31
1-Nov,21.39215686,1,32
2-Nov,24.93023256,1,33
3-Nov,16.14583333,1,34
4-Nov,24.43137255,1,35
5-Nov,37.79661017,1,36
6-Nov,23.46666667,1,37
7-Nov,17.80952381,1,38
8-Nov,19.60344828,1,39
9-Nov,16.62790698,1,40
10-Nov,32.34482759,1,41
11-Nov,19.73469388,1,42
12-Nov,30.98461538,1,43
13-Nov,20.95555556,1,44
14-Nov,17.80769231,1,45
15-Nov,25.29545455,1,46
16-Nov,61.32692308,1,47
17-Nov,22,1,48
18-Nov,30.40677966,1,49
19-Nov,13.83333333,1,50
20-Nov,14.28571429,1,51
21-Nov,15.21428571,1,52
22-Nov,15.47916667,1,53
23-Nov,15.23333333,1,54
24-Nov,17.94230769,1,55
25-Nov,18.13043478,1,56
26-Nov,19.32692308,1,57
27-Nov,14.33333333,1,58
28-Nov,14.65625,1,59
29-Nov,18.57142857,1,60
30-Nov,38.2244898,1,61
